scheme_name,slug,details,benefits,eligibility,application,documents,level,schemeCategory,Unnamed: 9,tags,income_limit,age_limit,category_req,state_req
Day Care - cum - Recreation Centre and Physiotherapy Unit,dccrcpu-giapsca,"The sub-scheme “Day Care - cum - Recreation Centre and Physiotherapy Unit"" under the umbrella scheme ""Grant-in-Aid to Pondicherry Society for the Care of the Aged (PONCARE)"" was launched by the Department of Social Welfare, Government of Puducherry. Through this scheme, the senior citizens are provided free physiotherapy given by the physiotherapist, as advised by the doctors.","Free Physiotherapy given by the Physiotherapist, as advised by the Doctors.",The applicant should be 60 years or above in age. The applicant should be a Native/Resident of the Union Territory of Puducherry for at least 5 years.,"Step 1: The interested applicant should visit (during office hours) the Pondicherry Society for the care of the Aged (PONCARE), Puducherry, 4th Cross - Sithankudi, 6th Cross Extension, Brindavanam, West, Puducherry - 605 013, +91-413-2245317, +91-413-2246318, +91-9443405499 ﻿ , and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filled-in applications. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents to The Secretary, PONCARE. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).","Aadhaar Card. Birth Certificate / Age Proof. Residence-cum-Nativity Certificate, issued by the competent authority. Recent Passport-Size Photograph. Bank Passbook.",State,Health & Wellness,,"Senior Citizen, Social Welfare, Physiotherapy, Recreation, Daycare",,,,
Deen Dayal Swasthya Seva Yojana,ddssy,"To facilitate and take medical services to the next level, the State of Goa envisaged the present scheme to provide its people with quality medical care and treatment of diseases, hospitalization, and surgery through government and private hospitals. ﻿","The benefit under this scheme shall be provided on a cashless basis to the beneficiaries, up to the limit of their annual coverage, and shall be as under: The insurance cover shall be up to ₹2,50,000/- per annum for a family of three or fewer members and up to ₹4,00,000/- for a family of four or more members. Under no case, the claim would exceed ₹4,00,000/- annually. The insurance benefit can be availed of individually or collectively by members of the family. An individual is free to take higher coverage from the insurance company by paying higher premiums, without having any impact on Government policy and facilities. The facilities for 447 procedures shall be covered under the scheme. ﻿",The applicant must be a resident of the state of Goa. The applicant must have resided in Goa continuously for a minimum of five years or more.,"The beneficiary may approach the Empanelled Health Care Provider (EHCP) as per the list provided on the website. After consulting the doctor, if the surgery is covered under the scheme and is available at the said EHCP, the patient can approach the DDSSY Sahayak at the hospital with the card, and the Sahayak will raise a request for pre-authorization with the ISA pre-authorization doctor. Or Alternatively, if the beneficiary is aware of what the procedure is, he/she can check the website to find out at which EHCP the required procedure is performed and visit the hospital of his/her choice as per the list of EHCPs empaneled for the said procedure. ﻿ Note: Officer to be contacted: ﻿ Sr. No. Name & address of the Nodal Officer Designation Contact No. 1 Dr. Yogesh Potdar, Directorate of Health Services, Campal Panaji Medical Management & Quality Manager 0832-2225646, Extn. 256, 7447797582 2 Dr. Ralph Araujo, MD India Health Insurance TPA Pvt. Ltd., B-F/3, 1st Floor, Campal Trade Centre, Behind Military Hospital, Panaji Sr. Manager 9325963691 3 Shri. Sagar Jaiwar, Goa Electronics Ltd., Ground Floor, Shrama Shakti Bhavan, Patto Plaza, EDC Complex, Panaji Asst. Manager (IT), Goa Electronics Ltd. 8411004910 ﻿","Aadhar Card/Enrolment Acknowledgement Slip of every family member above 5 years (Compulsory). Residence Proof of eligibility person: passport, residence certificate/Election card/Driving license issued a minimum of 5 years ago in Goa. For OBC of non-creamy layer: Caste Certificate issued by Deputy Collector along with income certificate showing income less than ₹6,00,000/- per annum. For SC/ST: Cast certificate issued by the Director of Tribal Welfare/ Deputy Collector. For Differently abled eligible person: Disability certificate issued by Medical board. Ration card to define family. In case of Ration card is not available all the below-mentioned documents are to be enclosed. For Spouse: Marriage Certificate. For dependent child: Birth certificate/school leaving certificate of dependent child or children of the eligible person. For the dependent parent: Declaration stating the dependent parent/(s) are not employed.",State,Health & Wellness,,"Insurance, Health Coverage, Goa, Cashless",,,,
Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU),dayalu,"The Deen Dayal Upadhyaya Antyodaya Parivar Suraksha Yojana (DAYALU) was launched by the Planning Department, Haryana Government during the financial year 2023-24. This scheme provides financial assistance in the event of death (natural or accidental) or permanent disability (caused by an accident) of a family member whose annual income is less than ₹1.80 lakh, as verified in the Family Information Data Repository (FIDR) database. The scheme became effective from 1st April 2023. The assistance offered under this scheme will vary depending on the age of the individual at the time of death or permanent disability, with eligibility for individuals above the age of 6 years and up to 60 years. The scheme covers only death or permanent disability resulting from an accident. The implementing agency for this scheme will be Haryana Parivar Suraksha Nyas (HPSN), Government of Haryana. Objective: To provide socio-financial security to eligible residents of the State.","The scheme will provide the below mentioned assistance which would vary depending on the age of the beneficiary: Sl. No. Age Compensation Amount 1 Above 6 years and up to 12 years ₹ 1 lakh 2 Above 12 years and up to 18 years ₹ 2 lakh 3 Above 18 years and up to 25 years ₹ 3 lakh 4 Above 25 years and up to 45 years ₹ 5 lakh 5 Above 45 years and up to 60 years ₹ 3 lakh Note: For beneficiaries enrolled under Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) & Pradhan Mantri Suraksha Bima Yojana (PMSBY), assistance paid under DAYALU will be adjusted considering the compensation received from PMJJBY or PMSBY: Mode of Disbursement: The assistance amount will be paid directly into the bank account registered in the PPP database or linked to the Aadhaar number of the Head of the family. In case of permanent disability, the assistance amount shall be paid to the beneficiary in his bank account registered in the PPP database or bank account linked to the Aadhaar number. Frequency of Disbursement: One-time financial assistance. Expected Time of Disbursement: The claim must be filed within three months of death or permanent disability.","1.	The applicant must be a resident of Haryana. 2.	The applicant refers to either: •	The beneficiary (in case of permanent disability), or •	An eligible relative (in case of death) applying for financial assistance under this scheme. 3.	The family income of the beneficiary must be less than ₹1.80 lakh per annum, as verified in the Family Information Data Repository (FIDR) database. 4.	The beneficiary must possess a Family ID/Parivar Pehchaan Patra (PPP) number. 5.	The beneficiary must be above 6 years and up to 60 years of age. 6.	The scheme is effective from 1st April 2023. Claims for deaths or disabilities occurring before this date will not be entertained by the Trust. 7.	Financial assistance will be provided only in cases of: •	Death (natural or accidental), or •	Permanent disability (caused by an accident). 8.	Permanent disability is defined as 70% or more disability resulting from an accident, as certified by the Medical Authority. Other Terms & Conditions: All registered Construction workers, Industrial Labours, Other labours, Private Sector Employee, Private contractual workers, Unorganised workers etc. registered under Haryana Labour Welfare Board (HLWB) and Haryana Building and Other Construction Workers Welfare Board (HBOCW) having annual family income below Rs. 1.80 lakh will be given compensation by HLWB/HBOCW and in case the Labour department rejects the particular claim then the compensation will be given under DAYALU scheme as per their eligibility. In case of death, the assistance amount shall be paid: 1.	In case Member of family is deceased then assistance will be given to the Head of the Family. 2.	In case Head of Family is deceased then assistance will be given- •	Eldest of the family below the age of 60 years. •	In case no elder family member is below the age of 60 years then the family member immediate above the age of 60 years. 3.	In case no family member is alive after the death in the family then no assistance will be paid. 4.	In case the alive family members are below the age of 18 years then the assistance will be paid only at the time of any member attaining the age above 18 years, subject to para 5 below. 5.	In case the applications for compensation received after 1st January, 2024 where the age of the beneficiary is above 25 years and upto 45 years and there is a minor girl child in the family then out of the compensation of ₹5 lakh, ₹2.5 lakh will be given to the minor girl child in her bank account linked with her Aadhaar number, if exists, and the balance of the compensation will be given as per the scheme.","Step 1: Visit the official DAYALU scheme portal. Step 2: Select the Apply Option: Click on ""Apply Scheme"" to begin your application. Step 3: On the registration page, select the scheme and enter your Parivar Pehchan Patra (PPP) number. Register using the OTP sent to your registered mobile number. Step 4: Select the family member who has passed away or is permanently disabled. Step 5: Fill in the necessary information, including Date of Death (if applicable), Registration Number, and Issuing Authority and Attach the relevant death or disability certificate. Step 6: Click ""Apply Scheme"" to complete the application submission. Note: Submit the claim within three months of the death or permanent disability.",Family ID/Parivar Pehchan Patra (PPP) Number Bank Account Details (Registered in the PPP database or linked to the Aadhaar number of the Head of the Family) Death Certificate (In case of death) Disability Certificate (In case of permanent disability) Aadhaar Card of the Beneficiary Proof of Enrollment in PMJJBY/PMSBY (If applicable) Any other documents as required,State,"Health & Wellness, Banking,Financial Services and Insurance",,"DAYALU, Financial Assistance, Death, Permanent Disablity",,6.0,,
Delhi Arogya Kosh,dak,"Details The Governing Body of Delhi Arogya Kosh in its 13th meeting held on 28.02.2017 resolved that financial assistance shall be provided for Ultrasound, Doppler Studies, Mammography, EEG, EMG, TMT & ECHO from both non-NABH & NABH ACCREDITED DGEHS EMPANELLED STANDALONE DIAGNOSTIC centres to any eligible patient who is a bonafide resident of Delhi, identified on the basis of Voter ID card; Aadhaar Card; Passport; Driving License; Ration Card; Extract from the electoral roll and Birth Certificate along with identity proof of either parent (for children below five years of age), undergoing treatment in any of the 25 Hospitals owned by Government of National Capital Territory of Delhi (GNCTD) or in any of the 23 polyclinics attached to these hospitals or in any of the 05 hospitals run under autonomous mode by GNCTD",Benefits Provides financial assistance of Rs. 5 lacs to needy eligible patients for treatment of any illness /disease in a Government hospital run by Delhi  Government or  Central Government or Local Bodies or  Autonomous Hospitals under State Government,Eligibility Patients with annual family income up to Rs 3 lacs are eligible. The patient should be a bonafide resident of Delhi for the last 3 years ( prior to the date of submission of the application). The patient requiring treatment for any illness/ treatment/ intervention in a Government Hospital run by Delhi Govt. /Central Govt. /AIIMS /Autonomous Institutes of the State Govt. /Local Bodies.,"Application Process Download the application form . Check the List Of Dak Empanelled Hospitals For Free Surgery Scheme. A Complete application form along with all the requisite documents is processed by the concerned hospital and sent to the Director of General Health Services through e-office for his approval. Thereafter, the application needs approval from the Finance Department, GNCTD and is thence forwarded to Chairman, DAK for their approval, respectively. Financial Assistance up to Rs. 25,000/- is sanctioned at the level of Directorate General Of Health Services (DGHS), up to Rs. 1.5 lakh is sanctioned at the level of DGHS after approval of the finance department. Financial Assistance above Rs. 1.5 lakh upto Rs. 5 lakhs is sanctioned at the level of Chairman, DAK After the due approvals from the competent authority on rotation, the application comes back to Patient Welfare Cell and the sanctioned amount is issued in favour of the concerned Government Hospital through the ECS facility. The concerned hospital is informed regarding the patient and the sanctioned amount for further necessary action at the level of the hospital. The applicant, too, is informed through a letter sent by Speed-post and, if a contact number is available, telephonically","Requisite documents for verification of INCOME (any one of the following): National Food Security Card for income less than Rs. 1 lakh per annum. Income Certificate issued from area SDM (or any other officer authorized on this behalf by the Revenue Department) for income up to Rs. 3 lakhs per annum. ﻿ Requisite document for verification of DOMICILE for the last 03 years (any one of the following): Domicile Certificate issued from area SDM. Ration card. EPIC (Voter ID). Driving License. Passport. Extract from the Electoral Roll. Aadhar Card. ﻿ Note: In case the patient is a minor, Birth Certificate of the patient and the domicile proof of either of the parent (any one of the aforementioned documents).",State,Health & Wellness,,"Arogya Kosh, Delhi, Financial Assistance, Family Health",,,,
Delhi Arogya Nidhi,dan,"The ""Delhi Arogya Nidhi (DAN)"" is a scheme implemented by the Directorate General of Health Services to provide financial assistance of up to ₹1.5 lacs to needy patients who have National Food Security Cards for treatment of diseases in Government hospitals only.","Under the scheme, financial assistance of up to ₹1.5 lacs will be provided to needy patients who have National Food Security Cards for treatment of diseases in Government hospitals only.",Patients should have a National Food Security Card. The patient must be a resident of Delhi and has to furnish domicile proof of residing in Delhi continuously for the last 3 years (prior to the date of submission of the application). Treatment should be from the Government Hospital in Delhi.,"Step 01: Visit the official website to download the Application Form for Financial Aid. Step 02: Fill out the form with all requisites details. Step 03: The photocopies of all documents are to be attached with the application and the original is to be brought at the time of submission of same for verification. Step 04: Applicant has to submit an undertaking for his signature verification as given in the application form. Step 05: Application to be submitted in Patient Welfare Cell, Directorate of Health Services, 6th Floor, F-17, Karkardooma, (Near Karkardooma Court), Delhi-110032.","1. Proof of continuous residence in Delhi for the last 3years through any one of the following documents: •	National Food Security Card •	Electoral Voter’s Photo Identity Card •	Birth certificate (In case the patient is a minor) •	Extract from the electoral roll •	Aadhaar Card 2. Original Estimate Certificate duly signed by Consultant/ Medical Superintendent/ Chief Medical Officer of the Hospital 3. Two photographs of the patient, duly attested by the treating doctor. 4. A copy of the National Food Security Card. 5. Photocopies of the treatment record Note: Applicant has to submit an undertaking for his signature verification as given in the application form .",State,Health & Wellness,,"Arogya, Nidhi, Health, Patient, Treatment",,,,
Dental Care Scheme- Haryana Labour Welfare Board,dcs-hlwb,"The scheme “Dental Care Scheme” is implemented by the Haryana Labour Welfare Board (HLWB), Labour Department, Government of Haryana. Under this scheme, financial assistance of ₹4,000/- or the actual cost of dental care, whichever is less, is provided for dental care to the workers employed in the industrial and commercial establishments in the state of Haryana. Furthermore, financial assistance of ₹10,000/- or the actual cost of the jaw, whichever is less, is provided to the workers for getting full denture fitted.","Under this scheme, workers and their dependents are entitled to receive financial assistance of up to ₹4,000/- or the actual expenditure, whichever is less, for dental care. Financial assistance of up to ₹10,000/- or the actual amount of expenditure, whichever is less, is provided for fixation of full dentures to workers and their dependents.","The applicant should be a worker employed in an industrial or commercial establishment in Haryana. The worker should be registered with the Haryana Labour Welfare Board. The monthly income/salary of the worker should not exceed ₹25,000/-. The service period of the worker is fixed for one year. The application should be submitted within three months of the date of the dentist's prescription or bill for dental care or jaw implants. The beneficiary should not have availed of the benefit of this scheme earlier.","Registration of a Worker Under the Haryana Labour Welfare Board: Step 01: The applicant should visit the Official Website of the Labour Department Haryana. https://hrylabour.gov.in/ ﻿ Step 02 : On the home page, click on the “ Welfare Board Beneficiary Login ”, a new window page will be opened. If you don't have login details then click on “Click Here” to register. Step 03: Applicant has to read all the instructions and then “Tick” the acknowledgment, then click on the “Submit” button. Step 04: Verification using Parivar Pehchan Patra (PPP)- Family ID: a) Forget/not having Family ID: If you do not have PPP ID or forget the PPP ID, then you have to select that radio button and you are redirected to the PPP Portal for getting their PPP ID. b) Having a Family ID: If you have a family ID, then only you can move to the next step for registration. To proceed further, follow the given steps: • Select the “I have family ID” radio button. • Enter Parivar Pehchan Patra number - Family ID. • Click on “Fetch Family Details” which displays the family members registered under the given Family ID. • Select a family member for registration. • Enter the OTP that is being sent to the selected family member for verification. • Click on “Click to Verify” Step 05: A new page will be opened with basis information details of the applicant. Applicant need to verify all the pre-filled details. Step 06: After verification, the applicant has to fill all the details and red* marked fields are mandatory. Applicant has to upload his/her photo and then click on the ‘Submit’ button to submit the application. Step 07: Successfully Registered page will appear like below image and SMS/ email will be send to applicant. Step 08: Login into the account: After the final submission of the registration form, applicant can login into his/her account using their username and password. Note: An applicant can also apply for registration, if he/she doesn’t have family ID, through their Aadhaar Number. Apply for scheme benefits: Step 01: Visit the Official Website of the Labour Department Haryana. Step 02: On the home page, click on "" Welfare Board Beneficiary Login "". Step 03: Enter your Username, Password, Captcha, and click on the submit button. Step 04: In the opened window, click on ""Schemes"", and a list of schemes will appear on the screen. Step 05: Now, select the scheme and read its details. Step 06: Fill in all the required details in the online application form and submit it. Application Tracking: Workers can track their application status online through the official website of the Labour Department Haryana. Relevant updates will be sent to the registered mobile number. ﻿ Apply for scheme benefits through the Antyodaya-SARAL Portal: Registration Process on Antyodaya-SARAL Portal: Step 01: To avail of the benefits of the scheme, the applicant needs to visit Official Portal -Antyodaya-SARAL Portal: https://saralharyana.gov.in/ ﻿ Step 02: If the applicant is not registered on the portal, then he/she gets registered on the portal. Step 03: For registration, click on “New User” under ‘Sign In Here’ and fill in all the mandatory details i.e. Full Name, Email ID, Mobile Number, Password & State. Click on ‘Submit’. Step 04: Verify your mobile number and email ID through the received OTP and complete the registration process. Login to Apply for the Scheme: Step 01: Now, to avail the benefits of the scheme, visit the Official Portal - Antyodaya-SARAL Portal and login through the email ID that is used while registering. Step 02: Enter Password & Captcha and click on ‘Login’. Step 03: After successful login, click on ‘Apply for Services’ and then ‘View all Available Services’ Step 04: Now, search for the ‘Dental Care Scheme- Haryana Labour Welfare Board’ and click on the scheme to proceed to fill out the application form. Step 05: Enter Parivar Pehchan Patra number - Family ID and Click on “Click here to Fetch Family Data” which displays the family members registered under the given Family ID. Step 06: Select the beneficiary/applicant name and enter the OTP that is being sent to the selected family member for verification. Click on “Click to Verify” Step 07: Fill in all the mandatory details and upload all the mandatory documents. Step 08: Preview the application form and click on ‘Submit’.","Documents required for registration under the Haryana Labour Welfare Board: Aadhaar Card Passport-size photograph Parivar Pehchan Patra (Family ID) Bank account details Proof of residence Ration Card Caste Certificate (If applicable) Proof of age Disability certificate (If applicable) Any other documents as required Documents required for Scheme Benefits: ID proof of the worker issued by the organization Employer Certificate Employee Salary Slip (Previous Month) Affidavit/Undertaking (Self) Dentist's prescription and medicine purchase bill Ration Card/ESI Card/ Parivar Pehchan Patra (Family ID) Bank account details Any other documents as required Note: For a full jaw implant, the dentist's prescription and expense bill from the dentist will have to be clearly written and the bill will have to be signed and stamped by the dentist and uploaded.",State,Health & Wellness,,"Dental Care, Labour, Teeth, Denture, Organized Worker, Financial Assistance, Jaw Implants",25000.0,,,
"Denture, Spectacles & Hearing Aid Scheme (P.B.O.C.W.W.B)",dshaspbocwwb,"The ""Denture, Spectacles & Hearing Aid Scheme'' by the BOCW Welfare Board, Department of Labour, Punjab, is a welfare scheme for the registered workers of the board. Under this scheme, the Board will provide financial aid to the registered beneficiary Construction Workers and their family members for spectacles, dentures and hearing aids.","Spectacle: ₹.800/-. Denture: ₹5,000/-. Hearing Aid: ₹6,000/-. Note: Financial assistance under this scheme shall be granted on the recommendation of Govt. medical officer/Incharge of the E.S.I Dispensary. Under this scheme, the beneficiary or his family members shall get benefit only once. The beneficiary shall get the amount of actual expenditure or amount of financial assistance, whichever is less, on the basis of actual bills produced by him.","For Registration as a Building/ Construction Worker: The applicant should be a resident of Punjab. The applicant should be a Building/ Construction Worker (Unorganised Worker). The applicant should be between 18 and 60 years. The applicant should have engaged in building and construction work for at least 90 days in a given year. The applicant should have a monthly income of ₹15,000/- or below. The applicant should not be a member of any other Welfare Fund established under any law. The applicant should not have membership of the Employees' Provident Fund (EPF)/ National Pension System (NPS)/ Employees' State Insurance Corporation (ESIC). The applicant should not be an income tax payer. For the Application of the Welfare Scheme: The applicant should be a registered member Under the Building and Other Construction Workers Welfare Board of Punjab or should be a family member of the worker. The applicant should be paying the contribution regularly.","Registration Process as a Building/ Construction Worker: For new registration of workers please approach the nearby Sewa Kendra or Registering officers/ Labour Inspector. Application Process of the Welfare Scheme: To apply for benefits of the concerned welfare scheme, please approach to nearby Sewa Kendra or Registering Officers/ Labour Inspector of your area. Note: Registration with the Board: A construction worker becomes a member of the board by filling out Application Form No 28 along with depositing registration fees of ₹ 25/- only (once in life) and ₹ 10/- per month as contribution fees. A worker at a time can get himself registered for a minimum period of 1 year & maximum period of 5 years. The registered worker is called 'Beneficiary' of the Board. Important Links: Check Your Registration Application Status: Registered workers can check their registration application status through visiting this link upon entering their Registration Number. Download Registration Card: Registered workers can download their registration Registration Card through visiting this link upon entering their Registration Number. Check your Scheme Application Status: Registered workers can check their scheme application status through visiting this link upon entering their Registration Number. CSC Locator: Visit this link to search nearest Common Service Center (CSC) of your area. List of Sewa  Kendra: Visit this link to see the list of Sewa Kendra. Helpdesk: Punjab Building And Other Construction Workers Welfare Board Address: Labour Bhawan Model Welfare Centre Phase 10, Sector 64, Sahibzada Ajit Singh Nagar, Punjab, 160062 Phone : +91 172-2540125 Email : bocwhq@gmail.com For Bocw Portal Related Queries (Technical Support):- Phone : +91 172-2540125 Email : bocwhq@gmail.com Office Visiting Hours : Monday to Friday (09:00 AM to 05:00 PM)","For Registration as a Building/ Construction Worker: Age proof (If no age proof is available self declaration). Residence proof. Aadhaar card(if available). Bank Account details (Bank branch, account No. and IFSC/ RTGS number). Detail of dependents. Employer’s Certificate ( Form No. 28 ) (90 days of construction work during the last 12 months in the State of Punjab). Nomination Form ( Form No. 27 ). For the Application of the Welfare Scheme: Prescription of Govt. Medical officer requiring Medical Aid. Bill attested by Medical officer or Civil Surgeon. Any other documents (if required).",State,Health & Wellness,,"Labour, Building Worker, Construction Worker, Denture, Spectacles, Hearing Aid",15000.0,,,
Dhanvantari Arogya Rath Yojana (GBOCWWB),darygbocwwb,"The “Dhanvantari Arogya Rath Yojana” was launched by the Gujarat Building and Other Construction Worker’s Welfare Board (GBOCWWB), Labour, Skill Development & Employment Department, Government of Gujarat. The scheme has been implemented to ensure that construction workers and their families get primary medical treatment at their doorsteps, prevent serious diseases, and maintain their health at places including construction sites, labour colonies, and Kadianaka. The scheme is implemented by EMRI Green Health Services Gujarat (GVK-108) through making a tripartite MoU with the Health Department and EMRI Green Health Services Gujarat.","Under this scheme, treatment of primary injuries including common diseases like fever, diarrhea, vomiting, skin diseases and laboratory tests like urine, blood, blood sugar, malaria, and various diagnoses including primary care of women and children of their family and primary care of pregnant women during pregnancy done on the spot. Along with this, they are also given free medicines on the spot.",The benefits of this scheme can be availed by construction workers registered with the Gujarat Building and Other Construction Worker’s Welfare Board and their family members.,•	First aid is provided by the Dhanvantari Arogya Rath at Kadianaka & construction sites. •	The registered construction workers and their family members can avail the benefits by visiting there.,e-Nirman Card,State,Health & Wellness,,"Building Worker, Construction Worker, Labour, Common Diseases, Free Medicines, Primary Medical Treatment",,,,
Disability Pension (HPBOCWWB),dphpbocwwb,"The scheme ""Disability Pension,"" introduced by the Himachal Pradesh Building and Other Construction Workers Welfare Board (HPBOCWWB), Government of Himachal Pradesh, provides a monthly pension of ₹500/- to registered beneficiaries in case of disability caused by accidents or diseases. Additionally, a lump sum of ₹50,000/- is granted if the disability is more than 50%., and ₹25,000/- is granted if the disability is more than 50%.","A pension of ₹500/- month. Additional ₹50,000/- in case the disability is more than 50%. Additional ₹25,000/- in case the disability is less than 50%.",For Registration The applicant should be a resident of Himachal Pradesh. The applicant should be a Building or Construction Worker. The age of the applicant should be between 18 and 60 years. The applicant should have worked in building or construction activities for at least 90 days in the preceding 12 months. *The registration should be renewed annually. For Application The worker should be engaged in building or construction work. The worker should be registered under the Himachal Pradesh Building and Other Construction Workers Welfare Board (HPBOCWWB). The worker should have an active membership with the Board. The worker should be a Person with Disability (PwD). The disability should have been caused due to an accident or an illness.,"Registration Step 1:  Visit the official website of the Himachal Pradesh Building and Other Construction Workers Welfare Board. Step 2:  In the ""Menu Ribbon"", click ""Worker Services > Registration > New "". Step 3:  Navigate to the registration form. In the form, fill in all the mandatory fields (marked with an asterisk *). Carefully review all the information provided. Make any necessary corrections. Step 5: Click ""Save"" to submit your application for registration. *The Registration Status can be checked by providing your Beneficiary ID and your Date of Birth. Application Step 1:  Visit the official website of the Himachal Pradesh Building and Other Construction Workers Welfare Board. Step 2:  In the ""Menu Ribbon"", click ""Worker Services > Apply for Benefits "". On the next screen, provide your Beneficiary ID, and Date Of Birth, and click ""Search"". A list of schemes will be displayed. Click on the scheme you intend to apply for. You will be taken to the online application form of the scheme. Step 3:  In the form, fill in all the mandatory fields and upload all the mandatory documents in the specified format and size. Carefully review all the information provided and the documents uploaded. Make any necessary corrections. Step 4: Finally, click ""Submit"" to complete the process.","Identity Proof i.e. Aadhaar Card, Voter Card Bank Account Details/ Copy of Bank Passbook Age Proof Labour Card Disability Certificate Medical Bill, countersigned by the Doctor (if applicable)",State,Health & Wellness,,"Construction, Building, Labour, Disability, Pension, Worker",,,,
Disability Pension and Ex-Gratia (K.B.O.C.W.W.B),dpaexgkbocwwb,"The ""Disability Pension and Ex-Gratia'' by the BOCW Welfare Board, Department of Labour, Karnataka, is a welfare scheme for the registered workers of the board. Under this Scheme, financial support shall be provided to registered construction workers in the form of pension who are partially disabled due to accidents or diseases incurred at their worksite. Beneficiaries may receive an ex-gratia payment depending on the extent of their disability. The pension is discontinued upon the beneficiary reaching sixty (60) years of age. ﻿","Monthly Disability Pension: ₹2,000/-. Additional Ex-gratia Payment: ₹2,00,000/- based on the percentage of disability.",For Registration as a Building/ Construction Worker: The applicant should be a Building/ Construction Worker (Unorganised Worker). The applicant should be a minimum of 18 years of age. The applicant should have engaged in building and construction work for at least 90 days in a given year. For the Application of the Welfare Scheme: The applicant should be a registered construction worker Under the Building and Other Construction Workers Welfare Board of Karnataka. The applicant should be partially disabled due to worksite accidents or diseases. The applicant should not have availed “Accident Benefits” for the same disability. The applicant must be below sixty (60) years of age. Note: The Disability Pension granted shall be discontinued once the beneficiary attains the age of sixty (60) years.,"Registration Process as a Building/ Construction Worker: Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Register”. Step 2: Select “Register as New Construction Worker” then enter your mobile number as per the Aadhaar Registered and verify with the received OTP. Step 3: From the dashboard, click on “Registration”. Step 4: Fill in all the mandatory details and upload the required documents. Click on “Final Submit” to complete the registration process. Application Process of the Welfare Scheme: Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”. Step 2: Enter your registered mobile number and the received OTP. Step 3: From the dashboard, click on “Schemes” (After the user Registration is approved, the user can access the schemes page). Step 4: Select the concerned scheme. Fill in all the mandatory details and upload the required documents. Step 5: Review the details and check the declaration box. Now click on “Submit” to complete the application process. Renewal Process: Step 1: Visit the official Website of Karnataka Building & Other Construction Workers Welfare Board (KBOCWWB) and click on “Login”. Step 2: Enter your registered mobile number and the received OTP. Step 3: From the dashboard, click on “Renewal”. Fill in mandatory details and upload the required documents. Step 4: Review the details and click on “Submit” to complete the renewal process. Note: Renewal: Every construction worker must renew their registration with the Karnataka Building and Other Construction Workers Welfare Board every 3 years. If not renewed within this period, a 1-year grace period is granted. After that, the registration becomes invalid. Timeline: Application for this assistance can be submitted within 6 months from the date of issue of disability ID card by the competent authority. Helpdesk: Karnataka Building And Other Construction Workers Welfare Board, Address: Karmika Bhavan, Dairy Circle, Bannerghatta Road, Bangalore-29. Office No: 080-29753078 E-mail: labour.commissioner42@gmail.com",For Registration as a Building/ Construction Worker: Employment Certificate/90 Days Work Certificate ( Form V(A) / V(B) / V(C) /V(D)). Aadhar Card (Self-Attested). Ration Card(non-mandatory). Age Proof (Voter ID Card/Aadhar Card). For the Application of the Welfare Scheme: Beneficiary/original Identity card (Issued by the board). Photocopy of beneficiary's bank passbook. Living Certificate (every year). Ration Card. Employer Certificate. Medical Report. ID card issued by the department for the empowerment of differently abled and Senior citizens. Photocopy of the disabled beneficiary. For the Renewal Process: Employment Certificate/90 Days Work Certificate ( Form V(A) / V(B) / V(C) / V(D) ). Note: In case the death of Beneficiary Nominee should provide a death certificate to the Board.,State,"Social welfare & Empowerment, Health & Wellness",,"Labour, Building Worker, Construction Worker, Pension, Disability, Ex-Gratia",,,,Karnataka
